"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents & Signals","3.03%","849 hrs","$30,037","$5,493","$35,529"
"Unclassified","28.3%","7,931 hrs","$280,510","$51,296","$331,806"
"Recurrent","1.65%","463 hrs","$16,383","$2,996","$19,379"
"Incidents, Recurrent, Signals & Weather","0.16%","45 hrs","$1,596","$292","$1,887"
"Incidents","0.14%","39 hrs","$1,372","$251","$1,623"
"Holiday","1.04%","292 hrs","$10,329","$1,889","$12,218"
"Holiday, Signals & Weather","0.71%","200 hrs","$7,066","$1,292","$8,358"
"Signals & Weather","8.97%","2,514 hrs","$88,937","$16,264","$105,201"
"Holiday & Weather","0.01%","2 hrs","$55","$10","$65"
"Holiday, Incidents, Signals & Weather","0.57%","160 hrs","$5,658","$1,035","$6,693"
"Signals & Work Zone","0.05%","15 hrs","$541","$99","$639"
"Signals","41.22%","11,552 hrs","$408,592","$74,718","$483,310"
"Weather","5.18%","1,453 hrs","$51,394","$9,398","$60,792"
"Incidents, Signals & Weather","4.98%","1,396 hrs","$49,363","$9,027","$58,390"
"Holiday & Signals","3.97%","1,113 hrs","$39,369","$7,199","$46,568"
"Totals","100.0%","28,024 hrs","$991,200","$181,258","$1,172,458"
