,id,delay_cost,vehicle_hours_of_delay
0,BAR_GA-11,688122.51,16447.3
1,BAR_GA-211,151251.57,3615.2
2,BAR_GA-316,3703540.99,88521.0
3,BAR_GA-81,712307.09,17025.4
4,BAR_I-85,2449590.57,58549.4
5,BAR_US-29,589075.39,14079.9
6,BAT_GA-113,101429.46,2424.3
7,BAT_GA-140,2298.97,54.9
8,BAT_GA-140 E,10733.34,256.5
9,BAT_GA-140 W,2983.52,71.3
10,BAT_GA-20,87845.96,2099.7
11,BAT_GA-293,129681.84,3099.6
12,BAT_GA-61,254982.03,6094.5
13,BAT_HWY 411,66792.15,1596.4
14,BAT_I-75 N,5381952.58,128637.9
15,BAT_I-75 S,11148203.27,266461.2
16,BAT_US-41,3537730.53,84557.8
17,BAT_US-41 N,36110.94,863.1
18,BAT_US-41 S,2141203.87,51178.4
19,BAT_US-411,23182.78,554.1
20,CAR_GA-1,2811196.93,67192.4
21,CAR_GA-113,219446.32,5245.1
22,CAR_GA-16,89339.69,2135.4
23,CAR_GA-166,1256675.31,30036.7
24,CAR_GA-166 E,218069.77,5212.2
25,CAR_GA-166 W,59899.26,1431.7
26,CAR_GA-5 E,14894.46,356.0
27,CAR_GA-5 N,5116.54,122.3
28,CAR_GA-5 W,9246.53,221.0
29,CAR_GA-61 N,238786.52,5707.4
30,CAR_GA-61 S,28496.18,681.1
31,CAR_I-20,1918708.24,45860.4
32,CAR_NORTHSIDE,655216.29,15660.8
33,CAR_US-27,257368.12,6151.5
34,CAR_US-78,143959.23,3440.9
35,CHE_ALABAMA,941886.84,22512.7
36,CHE_CUMMING,4429596.03,105874.9
37,CHE_GA-108,15004.83,358.6
38,CHE_GA-140,3008075.04,71898.2
39,CHE_GA-20,1632205.62,39012.5
40,CHE_GA-369,62544.86,1494.9
41,CHE_GA-372,29172.46,697.3
42,CHE_GA-372 S,463782.27,11085.2
43,CHE_GA-5,186025.8,4446.3
44,CHE_GA-92,2706889.06,64699.3
45,CHE_I-575 MAG,4413126.65,105481.3
46,CHE_I-575 N,218442.4,5221.1
47,CHE_I-575 S,3572521.28,85389.4
48,CHE_KNOX,545546.55,13039.5
49,CHE_MAIN,962862.51,23014.1
50,CHE_REINHARDT,148649.2,3553.0
51,CLA_GA-138 E,1627967.38,38911.2
52,CLA_GA-138 W,2311305.52,55244.2
53,CLA_GA-139,306643.56,7329.3
54,CLA_GA-331,634597.38,15168.0
55,CLA_GA-42,7074155.2,169084.4
56,CLA_GA-54,866162.8,20702.8
57,CLA_GA-85,2656259.61,63489.2
58,CLA_I-285 S,15650622.34,374076.7
59,CLA_I-675,4991563.77,119306.9
60,CLA_I-75,24824924.68,593358.3
61,CLA_I-85,6212095.58,148479.7
62,CLA_MAIN,127826.17,3055.3
63,CLA_MCDONOUGH,1169213.36,27946.2
64,CLA_MORROW,89831.3,2147.1
65,CLA_US-19,16788025.25,401262.6
66,CLA_US-23,136975.27,3273.9
67,COB_ATLANTA,910064.78,21752.1
68,COB_BARRETT,5929406.91,141723.0
69,COB_CANTON,4912070.98,117406.9
70,COB_COBB PKWY,14376508.0,343623.2
71,COB_DELK,1861093.12,44483.3
72,COB_EW CONN,2511882.23,60038.3
73,COB_GA-120 E,2483364.38,59356.7
74,COB_GA-120 W,5174347.26,123675.8
75,COB_GA-139,1893402.84,45255.6
76,COB_GA-280,2183459.43,52188.4
77,COB_GA-360,3604551.97,86155.0
78,COB_GA-5,6492827.9,155189.7
79,COB_GA-92,2184128.59,52204.4
80,COB_I-20,42698710.08,1020572.4
81,COB_I-285 W,71603653.44,1711450.2
82,COB_I-575,18678882.75,446457.4
83,COB_I-75,82211998.68,1965007.9
84,COB_I-75 MAG N,1746612.28,41747.0
85,COB_I-75 MAG S,3557556.3,85031.7
86,COB_I-75 N,38542233.09,921225.5
87,COB_JOHNSON,1334882.03,31906.0
88,COB_LAKE ACWORTH,1452210.79,34710.3
89,COB_LOST MOUNTAIN,2453548.11,58644.0
90,COB_LOWER,221289.69,5289.2
91,COB_N GA-120A,3635656.46,86898.4
92,COB_OLD,191697.07,4581.9
93,COB_POWDER,9691047.78,231632.7
94,COB_POWERS,530181.35,12672.2
95,COB_S GA-120,593393.52,14183.1
96,COB_SANDY PLAINS,1656244.97,39587.1
97,COB_SHALLOWFORD,550544.72,13159.0
98,COB_STILESBORO,712469.71,17029.2
99,COB_TERRELL,411031.21,9824.4
100,COB_US-278,18229461.77,435715.4
101,COB_US-41,11410483.19,272730.1
102,COB_US-78,4813303.31,115046.2
103,COB_WINDY HILL,2959766.54,70743.5
104,COW_BROAD,498595.76,11917.3
105,COW_GA-14,248370.5,5936.5
106,COW_GA-154,2196105.7,52490.7
107,COW_GA-16,42029.13,1004.6
108,COW_GA-34 BYP,115112.52,2751.4
109,COW_GA-34 E,6725054.55,160740.3
110,COW_GA-34 W,770866.95,18425.0
111,COW_GA-54,746526.9,17843.3
112,COW_GA-70,23139.84,553.1
113,COW_GA-85,97247.38,2324.4
