cor,dir1,dir1_am_peak_25pctl_2021,dir1_am_peak_75pctl_2021,dir1_am_peak_25pctl_2022,dir1_am_peak_75pctl_2022,dir1_am_peak_25pctl_2023,dir1_am_peak_75pctl_2023,dir1_pm_peak_25pctl_2021,dir1_pm_peak_75pctl_2021,dir1_pm_peak_25pctl_2022,dir1_pm_peak_75pctl_2022,dir1_pm_peak_25pctl_2023,dir1_pm_peak_75pctl_2023,dir2,dir2_am_peak_25pctl_2021,dir2_am_peak_75pctl_2021,dir2_am_peak_25pctl_2022,dir2_am_peak_75pctl_2022,dir2_am_peak_25pctl_2023,dir2_am_peak_75pctl_2023,dir2_pm_peak_25pctl_2021,dir2_pm_peak_75pctl_2021,dir2_pm_peak_25pctl_2022,dir2_pm_peak_75pctl_2022,dir2_pm_peak_25pctl_2023,dir2_pm_peak_75pctl_2023
0,Northbound,39.7,46.2,40.1,44.9,37.5,45.5,40.2,44.2,35.7,45.5,37.7,45.2,Southbound,42,48,38.5,46,40.4,46.7,36.8,46,39.1,46.4,39.1,45.3
1,Northbound,37.9,42,35.8,40.2,36.1,41.9,36.6,40,35.7,41.5,34.4,38.8,Southbound,37.9,42.5,34.7,39,38.4,41.9,34.3,38.5,38,41.6,33.4,37.5
2,Northbound,53,57,43.7,52,56.1,60.6,52.5,58.4,53,58.2,49.5,55.6,Southbound,40.8,51.2,42.5,51.7,41.8,53.5,45.1,54.2,41.3,52.6,43.8,53.2
3,Northbound,38.7,42.2,31.7,38.8,38.8,42.1,31.4,37.8,37.9,41,31.5,37.4,Southbound,37.6,41.8,32.2,37.7,37.2,40.9,32,37,35.1,39.9,28.4,35.8
4,Northbound,69.4,73,68.7,74.2,70.7,73.5,68.9,72.7,71,73.7,70,72.7,Southbound,72.3,75.1,70.3,73.7,72.4,74.7,70.9,73.6,72.4,74.7,70.9,74.1
5,Northbound,51.8,58.6,56.2,60.5,55.2,62,57.9,63.6,53.3,61.5,58.3,63,Southbound,58.8,62.9,53.9,60.3,61.9,65,56.3,61.9,62.7,65.5,49.9,60.6
6,Northbound,36.5,41,34.5,38.7,35.9,41,34.5,38.3,34.6,40.6,33.6,37.1,Southbound,37.7,41.3,34.3,38.5,37.7,41.4,35.3,39.2,37.7,41.1,33.5,37.6
7,Eastbound,54,58,52,57,55,59,54,58,55,59,56,59,Westbound,53,58,55,59,54,58,56,59,57,59,57,60
8,Eastbound,44.9,51.1,47.4,50.4,44.5,49.9,46.1,50.1,45.2,49.9,46.1,50.1,Westbound,47.4,51.4,48,51,47.4,51,47.6,51,47.6,51,48.2,50.6
9,Eastbound,45.8,49.8,45.4,49.1,46.9,50.4,47,50.5,47.5,51,47,50.5,Westbound,44.5,48.2,44.5,48.2,45.5,47.9,45.5,49.3,44.8,47.9,45.4,48.3
